"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 17 06:24:53 GMT 2025","Thu Apr 17 06:24:56 GMT 2025","2284","tests","Сравнение HTML-ответов с двух серверов","TestCompareHTML","","","3 - yandex","Проверяем, что страницы REF и TARGET возвращают одинаковый HTML и статус код 200."
"failed","Thu Apr 17 06:21:51 GMT 2025","Thu Apr 17 06:21:52 GMT 2025","331","tests","Сравнение HTML-ответов с двух серверов","TestCompareHTML","","","2 - google","Проверяем, что страницы REF и TARGET возвращают одинаковый HTML и статус код 200."
"failed","Thu Apr 17 06:24:53 GMT 2025","Thu Apr 17 06:24:53 GMT 2025","404","tests","Сравнение HTML-ответов с двух серверов","TestCompareHTML","","","2 - google","Проверяем, что страницы REF и TARGET возвращают одинаковый HTML и статус код 200."
"passed","Thu Apr 17 06:24:52 GMT 2025","Thu Apr 17 06:24:53 GMT 2025","1137","tests","Сравнение HTML-ответов с двух серверов","TestCompareHTML","","","1 - web_tour","Проверяем, что страницы REF и TARGET возвращают одинаковый HTML и статус код 200."
"failed","Thu Apr 17 06:21:52 GMT 2025","Thu Apr 17 06:21:54 GMT 2025","1828","tests","Сравнение HTML-ответов с двух серверов","TestCompareHTML","","","3 - yandex","Проверяем, что страницы REF и TARGET возвращают одинаковый HTML и статус код 200."
"passed","Thu Apr 17 06:21:51 GMT 2025","Thu Apr 17 06:21:51 GMT 2025","188","tests","Сравнение HTML-ответов с двух серверов","TestCompareHTML","","","1 - web_tour","Проверяем, что страницы REF и TARGET возвращают одинаковый HTML и статус код 200."
